117;78;Payeer RUB;RUB Payeer;643;1;11111111110111111111111111111111111111111111111111000001011111100111111111111010001111000000111110001110010001000111111111111111111111011111111111111111110111011101111111111011110000010010000111111111110000
118;140;ПУМБ;UAH ПУМБ;980;3;11111111110111111111110111111111111111111111111111100011011111100011111111111110000111000000110000000110000001000111001001111111111111011001000011110100110011001101110010001001110000010000000000000001101000
119;179;Любой банк INR;INR Банк;356;3;11001011000100100010000010001100001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
120;73;Advanced Cash EUR;EUR AdvCash;978;1;11111111110111111111110110111111111111111111111111000001011111100111111111111111100111111101110110001110010001000011111111111111111111011111111111111111110111001101110111111001110001110000000001100111111100
121;72;Advanced Cash RUB;RUB AdvCash;643;1;11111111110111111111110111111111111111111111111111000001011111100111111111111111101111100000111110001110010001000111111111111111111111011111111111111111110111001101111111111001110000010000000011100111111000
122;79;Payeer EUR;EUR Payeer;978;1;11111111110111111111110111011111111111111111111101000001011111100111111111111101100111111101111110001110010000000011001011111111111111011111111111111111110111011101110111111011110001010000000001000001110000
123;81;Skrill EUR;EUR Skrill;978;1;11001011000001110000000000001100001000000000000110100000011001100011101110001010000100000000000000000000000000000011001001111111111111011111011011110101010000000000000000000000000000000000000000000001010000
124;33;Verge (XVG);XVG;107;0;11111111110111111110011101111111111111111111000000000000011010100010001111001110000011000000000000000001000000000111101101100110000000011111111000000101000000001000000000100001000000000010000111011001000000
125;94;NixMoney EUR;EUR NixMoney;978;1;00001000000001110000000000000000000000000000000100000001011000100100001110001110000000000000100100000000000000000010001001001000101000011111100011110001010000000000000000001000000000000000000000000001000000
126;65;QIWI EUR;EUR QIWI;978;1;00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
127;66;QIWI KZT;KZT QIWI;398;1;10001010000001100000000000000000000000000000000100000000011000100000001110101110000000000000110100000000000000000000000000000000000000000000000011110100010000000000000000001000000000000000000000000000000000
128;60;Perfect Money BTC;BTC PM;967;1;11111111110111111111110110011111011111100111111100000000011011100111111111111110000111000000000000001110000000000011001001111101011111011111111111111111110111001101110010111001110000010000000000000001110000
129;106;Exmo USD;USD Exmo;840;2;11011111110111111110010000100100000100101011000100000001011011100010101110101110000110000000100000000000000001000011001001101111110110010101100000001101010001000000000110000000000000000000000000000001010000
130;107;Exmo RUB;RUB Exmo;643;2;11011111110111111110010000100100000100101011000100000000011001100010101110001110000000000000000000000000010001000011001001101111110110010000000000001101000000000000000010000000000000000000000000000000010000
